verb,frame_no,active_score,passive_score,pass_drop
hit,26,-32.64458465576172,-35.05537414550781,2.4107894897460938
strengthened,4,-36.11058044433594,-32.89238739013672,-3.2181930541992188
resembled,16,-41.708587646484375,-43.50774383544922,1.7991561889648438
liked,34,-25.833194732666016,-31.250080108642578,5.4168853759765625
approximated,19,-37.907169342041016,-35.22990417480469,-2.677265167236328
radiated,11,-28.318092346191406,-38.68250274658203,10.364410400390625
heard,32,-28.153791427612305,-43.33243942260742,15.178647994995117
liked,34,-34.21014404296875,-38.34519577026367,4.135051727294922
strengthened,2,-33.65428924560547,-36.5477294921875,2.8934402465820312
heard,32,-25.202552795410156,-32.00047302246094,6.797920227050781
pushed,27,-28.129064559936523,-35.990203857421875,7.861139297485352
fetched,7,-36.50354766845703,-40.28166961669922,3.7781219482421875
cost,6,-36.80091857910156,-48.390235900878906,11.589317321777344
emitted,13,-33.91996765136719,-35.535736083984375,1.6157684326171875
earned,6,-35.05979537963867,-43.84815979003906,8.78836441040039
benefited,1,-26.894882202148438,-39.69778823852539,12.802906036376953
took,25,-28.885589599609375,-42.086936950683594,13.201347351074219
discharged,14,-36.41986083984375,-44.749534606933594,8.329673767089844
carried,30,-33.51532745361328,-37.72838592529297,4.2130584716796875
cost,8,-24.740673065185547,-40.98341369628906,16.242740631103516
emanated,13,-41.339447021484375,-41.47138595581055,0.13193893432617188
lasted,25,-24.686555862426758,-51.39817810058594,26.71162223815918
knew,33,-29.68227767944336,-31.37127685546875,1.6889991760253906
took,23,-22.096817016601562,-33.532928466796875,11.436111450195312
heard,32,-32.077842712402344,-37.74543762207031,5.667594909667969
saw,31,-28.237842559814453,-29.98334503173828,1.7455024719238281
took,21,-21.631298065185547,-31.01601791381836,9.384719848632812
dropped,29,-31.623088836669922,-31.37930679321289,-0.24378204345703125
matched,20,-26.933162689208984,-37.32001495361328,10.386852264404297
carried,30,-28.7130126953125,-32.78080749511719,4.0677947998046875
emanated,15,-45.23040771484375,-41.08452606201172,-4.145881652832031
emanated,14,-38.903472900390625,-45.237091064453125,6.3336181640625
matched,18,-30.112548828125,-36.403907775878906,6.291358947753906
carried,30,-34.68954086303711,-30.89349365234375,-3.7960472106933594
earned,10,-28.405269622802734,-35.06507110595703,6.659801483154297
required,23,-28.0142765045166,-36.0694580078125,8.055181503295898
emitted,14,-37.042396545410156,-41.443668365478516,4.401271820068359
pushed,27,-37.63623046875,-34.55658721923828,-3.0796432495117188
fetched,10,-37.65694808959961,-42.895263671875,5.238315582275391
profited,4,-34.557952880859375,-33.258934020996094,-1.2990188598632812
benefited,2,-35.540992736816406,-36.25400161743164,0.7130088806152344
carried,30,-31.65839385986328,-29.262046813964844,-2.3963470458984375
earned,9,-29.421493530273438,-39.21898651123047,9.797492980957031
resembled,20,-28.39394760131836,-47.286746978759766,18.892799377441406
helped,3,-31.081541061401367,-28.746070861816406,-2.335470199584961
approximated,17,-38.19233703613281,-43.650936126708984,5.458599090576172
washed,28,-31.436607360839844,-36.80738830566406,5.370780944824219
pushed,27,-32.98053741455078,-37.285484313964844,4.3049468994140625
mirrored,16,-38.953189849853516,-37.09959411621094,-1.8535957336425781
radiated,12,-39.11787033081055,-45.403743743896484,6.2858734130859375
knew,33,-27.641992568969727,-35.21314239501953,7.571149826049805
profited,5,-38.00322723388672,-32.331512451171875,-5.671714782714844
saw,31,-30.94303321838379,-34.98039245605469,4.037359237670898
fetched,9,-34.65898132324219,-45.209556579589844,10.550575256347656
lasted,23,-22.717636108398438,-41.40989685058594,18.6922607421875
lasted,24,-25.77169418334961,-53.427398681640625,27.655704498291016
lasted,22,-23.693241119384766,-47.122291564941406,23.42905044555664
benefited,5,-29.42991065979004,-31.769954681396484,2.3400440216064453
emanated,11,-34.27273941040039,-40.39521789550781,6.122478485107422
washed,28,-33.357574462890625,-37.840370178222656,4.482795715332031
knew,33,-28.092693328857422,-36.7500114440918,8.657318115234375
helped,1,-27.969131469726562,-38.26793670654297,10.298805236816406
heard,32,-31.004230499267578,-38.858673095703125,7.854442596435547
resembled,18,-32.44111633300781,-40.90439987182617,8.46328353881836
earned,7,-30.595788955688477,-32.53364562988281,1.937856674194336
fetched,6,-43.205936431884766,-51.15431594848633,7.9483795166015625
emitted,12,-32.35407257080078,-34.25077438354492,1.8967018127441406
resembled,17,-29.33855628967285,-40.56809997558594,11.229543685913086
